gene,time,mean_wt,mean_ko,log2fc
DNAJB1,0.0,5.251718213058419,5.411082474226804,0.0431277217832368
HNRNPA1,0.0,14.05713058419244,13.848797250859107,-0.021541448303091747
VIM,0.0,31.885309278350515,52.623711340206185,0.7228211246004921
HBA2,0.0,1.2315292096219932,1.1877147766323024,-0.052262424075239296
EIF1,0.0,23.253865979381445,24.486254295532646,0.07450151352303422
EEF1B2,0.0,22.342353951890033,22.19029209621993,-0.009852535484459156
CHCHD7,0.0,0.14175257731958762,0.1640893470790378,0.2111066124045062
EMP3,0.0,2.343213058419244,2.3101374570446733,-0.020509441329281616
H1F0,0.0,2.0343642611683848,2.042955326460481,0.006079634113723821
LDHB,0.0,8.301975945017182,8.392182130584192,0.01559123647613026
RPSA,0.0,42.55068728522337,45.37414089347079,0.09268789288310962
PDZD2,0.0,0.01804123711340206,0.10395189003436427,2.5265457484077993
OTUD1,0.0,0.30498281786941583,0.2963917525773196,-0.04122266258939959
GAPDH,0.0,31.28049828178694,62.33676975945017,0.9948199034002899
MIF,0.0,6.717783505154639,6.966924398625429,0.05253660559757756
GNAS,0.0,18.060137457044675,36.36769759450172,1.0098487196283212
BNIP3,0.0,2.4342783505154637,6.305841924398625,1.3731948602571782
WSCD1,0.0,0.019329896907216496,0.03479381443298969,0.847996873383652
LGALS1,0.0,57.321735395189,56.99527491408935,-0.00823996702130161
FKBP4,0.0,16.75,16.6069587628866,-0.012373199236647613
HSPH1,0.0,2.2783505154639174,7.723367697594502,1.7612403398427992
CNBP,0.0,14.70274914089347,14.890034364261169,0.018261146024887893
FLCN,0.0,0.6817010309278351,0.6997422680412371,0.03768447563577119
FOXO1,0.0,0.1254295532646048,0.15206185567010308,0.27778098918849947
SMPDL3A,0.0,0.15077319587628865,0.15549828178694158,0.04451866648788473
CCT8,0.0,3.2620274914089347,15.771477663230241,2.2734769894484153
ID2,0.0,1.5395189003436427,1.6494845360824741,0.09953567348844056
ZNF100,0.0,0.04338487972508591,0.04596219931271478,0.0832555017846755
MBD6,0.0,0.4570446735395189,0.5820446735395189,0.3487947000621382
HSPA1A,0.0,0.3960481099656357,0.5236254295532646,0.40285946930335165
APOE,0.0,21.548539518900345,21.540807560137456,-0.0005177548252157099
RPL22L1,0.0,10.994415807560138,11.495704467353951,0.06432393035670464
ANXA2R,0.0,0.01718213058419244,0.16666666666666666,3.2779846719910863
C1orf21,0.0,0.022336769759450172,0.07646048109965636,1.7752936671054658
PARK7,0.0,12.376288659793815,12.458762886597938,0.009582069534394506
