cell,gene,expr_real,expr_wt,expr_ko,diff
130,FOXM1,0.0,0.0,1.0,1.0
131,FOXM1,0.0,0.0,1.0,1.0
132,FOXM1,1.0,1.0,1.0,0.0
133,FOXM1,0.0,0.0,0.0,0.0
134,FOXM1,0.0,0.0,0.0,0.0
135,FOXM1,2.0,0.0,0.0,0.0
136,FOXM1,0.0,1.0,0.0,-1.0
137,FOXM1,1.0,0.0,0.0,0.0
138,FOXM1,0.0,1.0,1.0,0.0
139,FOXM1,3.0,0.0,0.0,0.0
140,FOXM1,0.0,0.0,1.0,1.0
141,FOXM1,0.0,3.0,0.0,-3.0
142,FOXM1,2.0,0.0,0.0,0.0
143,FOXM1,0.0,2.0,0.0,-2.0
144,FOXM1,0.0,0.0,0.0,0.0
145,FOXM1,0.0,0.0,1.0,1.0
146,FOXM1,0.0,3.0,0.0,-3.0
147,FOXM1,0.0,0.0,0.0,0.0
148,FOXM1,0.0,0.0,1.0,1.0
149,FOXM1,3.0,0.0,1.0,1.0
150,FOXM1,0.0,0.0,0.0,0.0
151,FOXM1,0.0,0.0,0.0,0.0
152,FOXM1,1.0,1.0,1.0,0.0
153,FOXM1,3.0,0.0,0.0,0.0
154,FOXM1,0.0,1.0,0.0,-1.0
155,FOXM1,0.0,2.0,0.0,-2.0
156,FOXM1,1.0,6.0,0.0,-6.0
157,FOXM1,0.0,0.0,1.0,1.0
158,FOXM1,0.0,0.0,1.0,1.0
159,FOXM1,2.0,1.0,1.0,0.0
160,FOXM1,1.0,1.0,0.0,-1.0
161,FOXM1,0.0,2.0,0.0,-2.0
162,FOXM1,0.0,0.0,0.0,0.0
163,FOXM1,0.0,0.0,0.0,0.0
164,FOXM1,1.0,0.0,0.0,0.0
165,FOXM1,0.0,1.0,0.0,-1.0
166,FOXM1,0.0,0.0,0.0,0.0
167,FOXM1,1.0,0.0,0.0,0.0
168,FOXM1,0.0,0.0,0.0,0.0
169,FOXM1,0.0,0.0,0.0,0.0
170,FOXM1,1.0,0.0,0.0,0.0
171,FOXM1,0.0,2.0,0.0,-2.0
172,FOXM1,3.0,0.0,0.0,0.0
173,FOXM1,0.0,0.0,0.0,0.0
174,FOXM1,0.0,0.0,0.0,0.0
175,FOXM1,0.0,0.0,3.0,3.0
176,FOXM1,0.0,1.0,0.0,-1.0
177,FOXM1,1.0,0.0,0.0,0.0
178,FOXM1,0.0,1.0,1.0,0.0
179,FOXM1,0.0,1.0,0.0,-1.0
180,FOXM1,0.0,0.0,0.0,0.0
181,FOXM1,0.0,0.0,0.0,0.0
182,FOXM1,0.0,2.0,0.0,-2.0
183,FOXM1,0.0,0.0,0.0,0.0
184,FOXM1,0.0,0.0,1.0,1.0
185,FOXM1,0.0,1.0,0.0,-1.0
186,FOXM1,1.0,0.0,1.0,1.0
187,FOXM1,0.0,0.0,0.0,0.0
188,FOXM1,0.0,0.0,0.0,0.0
189,FOXM1,1.0,1.0,0.0,-1.0
190,FOXM1,0.0,2.0,0.0,-2.0
191,FOXM1,0.0,2.0,0.0,-2.0
192,FOXM1,0.0,0.0,0.0,0.0
193,FOXM1,0.0,0.0,0.0,0.0
194,FOXM1,0.0,0.0,0.0,0.0
195,FOXM1,0.0,0.0,0.0,0.0
196,FOXM1,1.0,1.0,0.0,-1.0
197,FOXM1,0.0,0.0,1.0,1.0
198,FOXM1,0.0,1.0,0.0,-1.0
199,FOXM1,1.0,2.0,1.0,-1.0
200,FOXM1,0.0,0.0,0.0,0.0
