gene,umap_x,umap_y,cluster
RNF8,-4.349112,1.9438118,14
ZNF347,2.3946543,3.6069496,9
STXBP3,2.080749,-7.3955636,1
VPS35L,6.325889,-10.533937,1
ACSS2,9.703202,21.836252,17
COL1A2,1.3377635,16.375587,3
LRBA,22.947206,-4.03,18
ATF7IP,10.713587,11.697653,0
HIST1H2BD,7.2942433,8.28436,6
EIF5,0.75359654,15.965985,3
EIF3B,4.7440276,19.259996,3
RBM5,14.692237,20.281828,11
RASA2,2.5585458,-7.730997,1
ARID3B,7.8535833,6.315963,9
DTL,5.1509337,-0.6748319,13
TRMT11,18.30568,12.79435,15
KDM7A,8.103434,-8.717606,1
TOGARAM1,19.472055,-5.811781,18
TBC1D31,4.7411556,-2.9594615,13
DCBLD2,21.46017,0.87493163,7
SAFB,15.029788,19.636808,11
DGKD,17.235235,-6.5933876,18
HEY1,7.528873,21.437786,17
EAF1,18.17967,2.594549,7
RBBP6,7.537451,21.812311,17
CENPJ,-4.243602,-0.21124096,2
COX20,2.02937,17.858435,3
ZFYVE16,14.940368,19.026823,11
SREK1,0.26962677,15.652051,10
ARID2,9.048147,13.626741,0
RND3,1.416565,16.474895,3
ZNF276,9.261771,-9.757407,1
STAC2,5.8303375,-1.1600136,13
PPWD1,20.178978,-5.9940376,18
ARHGAP45,6.6039934,10.117819,5
CXorf56,6.747675,7.521831,6
FEM1C,17.529425,7.1498404,7
ANKRD52,5.4036217,-1.9831884,13
THUMPD2,19.8945,12.133306,15
SMNDC1,4.7234297,19.307865,3
TMA16,11.612894,11.624124,0
MANBA,5.9704127,-7.241282,1
GART,13.916561,20.877275,11
CHCHD7,-3.7379818,0.6728055,2
TBP,0.7618799,-7.050581,1
ZNF652,22.667036,-1.4312317,18
BIRC6,12.093143,11.8305,0
CENPH,14.847814,20.219074,11
DIS3L2,17.30711,2.803127,7
SLC12A7,22.9342,-0.5803235,18
ATP6V1C1,22.97313,-0.5822759,18
PEX2,19.797373,8.711061,15
AHCTF1,10.855161,11.673456,0
NHP2,-0.49060586,14.519946,10
MT-ATP8,16.766531,-6.459683,18
XYLT2,1.0710081,-7.4952025,1
KRT17,9.499861,2.036775,13
NRIP1,15.575257,12.417343,15
USP46,16.724674,4.1083856,7
MKI67,-6.5868154,-0.7782445,19
RPRD1B,18.414253,12.826455,15
CASC3,13.88445,21.394928,11
MYC,3.0545511,18.428787,3
AGPAT3,10.16395,-9.155847,1
SEC24D,6.9811378,-7.00208,13
TMTC3,6.8986588,-11.131461,1
ZKSCAN1,13.1143,16.931957,11
DNMT1,9.38814,21.852865,17
POGZ,7.9515834,21.823135,17
UBE2O,15.424967,-7.1359816,18
SLC19A2,22.230873,-4.2776694,18
GALK2,4.6103053,-2.9854546,13
ZMYM3,20.344751,-5.8000026,18
PWAR6,2.7429318,-1.3553783,13
RENBP,7.4960175,0.96287656,13
HIST3H2A,0.040319476,15.05296,10
HSPA5,0.13271211,14.035456,10
TRIB1,7.5663567,8.578887,5
HTRA1,5.914464,-1.1199766,13
CSNK1G3,11.916598,21.499825,17
ITSN1,6.5690513,-10.634465,1
AP3B1,11.0920515,11.843793,0
SLC26A11,9.428201,1.2470387,18
CYTOR,2.3197556,17.457052,3
CREB1,11.883398,-7.6841407,1
SESN1,7.2151036,5.704533,9
GAS2L3,7.1727552,4.5746384,9
PALMD,19.046383,-6.5606313,18
MUC20-OT1,11.711061,21.596907,17
ACOT11,7.318164,-2.1945858,13
GOLGA2,18.364893,12.868037,15
CNBP,-3.6583045,8.478661,16
COPS6,5.0519514,19.465002,3
NOL8,20.371832,10.943122,15
PLAUR,4.119458,5.043179,9
MARS,20.304785,9.316646,15
HDGFL2,13.6067095,21.483753,11
COG7,6.8994365,-1.8128515,13
KDM5C,18.367262,12.861578,15
ADNP2,8.951352,-9.24716,1
RNF168,9.026125,13.930565,0
UGP2,-4.4779563,4.330986,4
RING1,19.2635,2.4938142,7
GAPVD1,-3.9291825,1.167243,2
PLXNB1,3.969143,4.876936,9
RPGRIP1L,4.7954655,-9.887571,1
STAG1,18.19807,8.269888,7
PTCD2,0.0034557243,-7.6263533,1
RAD17,17.027056,4.028898,7
ARPC1B,18.491446,-6.64679,18
ANKIB1,20.25572,11.729157,15
GRIPAP1,6.2922955,-10.929316,1
ARMCX3,6.542473,20.88442,17
NUP50,-3.7700698,0.5337164,2
ARHGEF7,10.941862,16.844828,0
TPST1,-6.5239086,-0.74680895,19
PPP2R1B,3.4939487,-9.1269865,1
RANBP2,16.35599,12.91572,15
CYR61,3.3814812,18.471745,3
PLEKHA8,15.096672,-7.476621,18
ZMYM5,22.003456,0.6155305,18
NCAPD2,-4.5336275,3.3228755,14
ALS2,10.9457855,-8.602138,1
PIK3R4,7.993739,-1.9897089,13
TIPARP,18.713346,8.3081875,7
NAPB,4.723856,-9.788223,1
MYO7B,5.3346386,-1.9304003,13
MNS1,6.7705846,-1.7696021,13
SPRED1,4.483859,-7.8837953,1
CD55,17.032656,7.5316086,7
WDR60,5.3966923,19.808771,17
RNF213,11.519987,11.614555,0
PLEKHG3,3.582039,4.1381283,9
USP40,5.9480104,-10.390414,1
DESI1,22.802357,-3.3679616,18
SMC2,-0.19889213,14.690733,10
COX17,10.243557,16.25865,0
TTLL3,4.130217,-1.0260037,13
PROSER1,9.115533,1.9658195,9
RNF169,16.46269,12.44302,15
HSPH1,-3.6726382,8.406705,16
TTF1,20.417906,-6.075218,18
DDX11,8.627766,-9.553335,1
C5orf34,-6.408849,-1.6981201,19
NIF3L1,3.2633688,-9.066299,1
VPS13A,5.2947016,-2.3237479,13
KPNA5,21.386099,0.97747123,7
ATP2C1,16.777498,6.197512,7
MTR,14.741575,20.180605,11
HSF2,15.8939085,12.360415,15
IRAK4,11.824689,-8.245736,1
TRIM13,19.907822,12.153837,15
TMEM161B,18.75331,2.1843922,7
GPATCH1,6.879804,1.5405887,9
NOP58,2.957327,18.45123,3
DDX20,7.964137,7.052915,6
CCDC85C,6.293685,5.0987263,9
CTGF,6.3246307,10.245953,5
CHRNA1,8.751416,21.983772,17
U2AF2,9.65677,15.71486,0
TDRD3,4.3477783,-1.7061968,13
OCRL,5.874255,5.968387,9
PALM2,6.144459,4.3458376,9
TNNI2,14.658037,18.2443,11
PRKAR1A,8.302906,22.225512,17
PARP1,1.5502725,17.074427,3
DDX19A,16.088562,12.526208,15
KMT2E-AS1,7.9670286,8.443111,0
GABPB1-AS1,9.9159775,12.240697,0
TTC23,-4.9466424,0.18993856,2
HIST2H2AC,-3.7572532,0.6098976,2
CRYZ,6.0195904,4.2715187,9
SLC25A40,7.592567,5.165842,9
NCOA3,17.00705,3.4233773,7
C8orf33,1.9333686,17.089767,3
HEATR3,3.2609856,-1.0081695,13
RIOK3,7.41553,21.79732,17
HEATR1,9.1682205,14.66139,0
FAM53C,21.771524,-4.4084706,18
NUP210,4.130394,-1.412666,13
LMLN,-7.0704184,0.4398492,19
MTRR,3.7456422,-2.0342999,13
DNMBP,6.3389115,4.4482102,9
TOP2A,-4.631967,5.47613,4
EHMT2,9.4557905,12.956746,0
PPP1R3C,6.5374837,20.7662,17
ADAM19,19.15692,-6.4732566,18
AL591845.1,3.3398585,-1.3249745,13
STK38L,10.231383,-8.294522,1
FBXO25,5.1542215,4.6541634,9
PIAS2,22.126482,-3.9695938,18
CHD1,13.624661,21.227554,11
IQCK,7.795444,-1.5443994,13
SAMD5,10.179753,11.935811,0
JMJD1C,8.95228,22.008656,17
GOLGA4,3.6475704,19.040447,3
UFM1,16.569284,12.651542,15
WDR11,18.256218,2.380093,7
HMGA2,11.6609745,21.747463,17
PIAS3,9.293207,-9.397055,1
PDCD5,-4.625012,5.3471546,4
AZI2,-4.6297703,5.390999,4
CBR4,1.9538525,-7.3331604,1
TGFBR1,22.368086,-0.6204297,18
INTS8,3.7751162,-9.197583,1
TUBE1,22.817806,0.031626303,18
KMT5C,5.174554,-6.8893733,13
NAA16,12.285859,16.96913,11
USP4,22.451073,-2.6070147,18
INPP1,9.18326,1.2215084,13
MYO9B,19.706888,-6.308072,18
HMMR,-4.9323454,0.057444472,2
PROSER3,2.3118246,4.4827104,9
EHMT1,-4.0147343,-0.12731132,2
SMCR5,3.686564,4.452424,9
ZBTB21,-3.9236214,0.010308361,2
AP001505.1,-5.6705704,0.29369813,2
FHIT,9.159515,1.26017,13
NUP107,22.776138,0.083287366,18
FBXO38,4.8909745,-0.7704604,13
GLS,10.374185,11.842232,0
FRMD4B,2.5020828,4.647675,9
ZCCHC9,9.21042,13.958254,0
