gene,time,mean_wt,mean_ko,log2fc
PLEKHF2,0.0,0.25300687285223367,0.3913230240549828,0.6291834179561043
IP6K2,0.0,0.7594501718213058,1.4630584192439862,0.9459601593735354
CLN5,0.0,0.38745704467353953,0.3629725085910653,-0.09417609183466356
DNAH6,0.0,0.045103092783505154,0.12628865979381443,1.4854268066074214
CEP72,0.0,0.11984536082474227,0.12714776632302405,0.08533205310839216
LAMA2,0.0,0.8058419243986255,0.9596219931271478,0.25196935768104217
DDIT4,0.0,3.2555841924398625,3.4832474226804124,0.09751650588529859
FAM83G,0.0,0.01288659793814433,0.001718213058419244,-2.90688986791338
STIM2,0.0,0.48668384879725085,0.5146048109965635,0.0804800468074335
PANK2,0.0,0.7517182130584192,0.9093642611683849,0.2746663469551891
COMP,0.0,0.00816151202749141,0.000429553264604811,-4.247924331621537
HSPA6,0.0,1.681701030927835,1.1378865979381443,-0.563564463398787
SF1,0.0,2.3676975945017182,2.2719072164948453,-0.05958091263726259
POLA1,0.0,0.2916666666666667,0.22766323024054982,-0.3574192134035835
POLH,0.0,0.16151202749140894,0.21778350515463918,0.43125308301771803
GAMT,0.0,1.2018900343642611,1.657216494845361,0.4634571805545481
AL450384.1,0.0,0.00859106529209622,0.006872852233676976,-0.32192805290494214
PKN3,0.0,0.09836769759450172,0.17010309278350516,0.7901528257976144
OBSL1,0.0,0.845360824742268,0.9759450171821306,0.2072326139370938
CCDC28A,0.0,0.31056701030927836,0.2770618556701031,-0.16469648607873705
CCDC144NL-AS1,0.0,0.08419243986254296,0.22465635738831616,1.4159572814178352
MYLPF,0.0,0.9557560137457045,0.6365979381443299,-0.5862598876785113
SLC26A5,0.0,0.010309278350515464,0.000429553264604811,-4.584959282072423
SLC3A2,0.0,2.4235395189003435,2.5171821305841924,0.05469399870189358
LAMA4,0.0,1.4974226804123711,1.9639175257731958,0.3912528338599415
MDH2,0.0,2.48840206185567,2.3397766323024056,-0.08884879779453517
PABPN1,0.0,1.5541237113402062,1.6370274914089347,0.0749772001439152
DNAI1,0.0,0.006872852233676976,0.020189003436426118,1.5545887132249703
DCP2,0.0,0.9531786941580757,1.1576460481099657,0.2803756051755262
GPCPD1,0.0,0.5897766323024055,0.8530927835051546,0.5325339966262362
AC106707.1,0.0,0.15420962199312716,0.13917525773195877,-0.14799002992781082
OAS3,0.0,0.058419243986254296,0.15807560137457044,1.4360990992377434
EIF2A,0.0,1.1692439862542956,1.5588487972508591,0.4149049896669569
MAPK11,0.0,0.05197594501718213,0.19759450171821305,1.9266267932140966
ANKH,0.0,0.1559278350515464,0.23883161512027493,0.6151153315160685
FSTL5,0.0,0.09536082474226804,0.07345360824742268,-0.3765633469521092
SNRPF,0.0,5.135309278350515,5.341494845360825,0.05679237749443427
ZBTB48,0.0,0.16537800687285223,0.20790378006872853,0.33014859990795387
RFWD3,0.0,0.37757731958762886,0.24140893470790378,-0.645293032767258
RBM4,0.0,0.5463917525773195,1.0167525773195876,0.8959610342287798
BANF1,0.0,3.9488831615120277,3.9170962199312713,-0.011660115130967135
DEDD2,0.0,0.44372852233676974,0.3857388316151203,-0.20205290363513104
AC148476.1,0.0,0.02276632302405498,0.000429553264604811,-5.727917159342751
PPP2R3B,0.0,0.16709621993127147,0.22465635738831616,0.4270407890486177
LNCSRLR,0.0,0.01632302405498282,0.024484536082474227,0.5849624712598064
CDC37,0.0,1.9982817869415808,2.2066151202749142,0.1430749768055777
ATL2,0.0,0.3333333333333333,0.27963917525773196,-0.2533991081904466
MTRNR2L10,0.0,0.059278350515463915,0.06829896907216494,0.20435849529178116
LNX2,0.0,0.0897766323024055,0.18298969072164947,1.027350479959151
SULT1E1,0.0,0.7074742268041238,0.5313573883161512,-0.4129950540740921
HSPA1B,0.0,4.080756013745704,7.627577319587629,0.9023884438958043
GTSE1,0.0,0.9583333333333334,0.5253436426116839,-0.8672661084759817
TOP2A,0.0,3.883591065292096,1.6567869415807561,-1.229003207507646
BIRC5,0.0,1.4381443298969072,0.6632302405498282,-1.1166267741101725
TPX2,0.0,2.6460481099656357,1.5193298969072164,-0.8004041314770111
NUSAP1,0.0,0.7804982817869416,0.38831615120274915,-1.0071637399520972
