x,y,cell_type,FOXM1_wt,FOXM1_ko,NUSAP1_wt,NUSAP1_ko,PABPN1_wt,PABPN1_ko
0.49903333,6.2737207,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-0.6004681,7.1771846,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.047617983,6.5976076,quiescent,0.0,4.0,6.0,1.0,0.0,0.0
2.5954576,6.413569,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
0.32751206,8.857068,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.98118675,8.625957,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5418261,9.371443,quiescent,0.0,1.0,5.0,4.0,0.0,0.0
0.2038885,9.248442,quiescent,3.0,1.0,3.0,2.0,0.0,0.0
-1.8455492,8.661811,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.44158164,5.3619895,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.6584189,7.862682,quiescent,0.0,0.0,1.0,2.0,0.0,0.0
0.30342487,4.368593,quiescent,1.0,0.0,0.0,0.0,0.0,58.0
0.5303431,1.0591846,quiescent,0.0,2.0,0.0,0.0,0.0,0.0
-0.030259093,8.59779,quiescent,0.0,0.0,0.0,0.0,0.0,3.0
-0.5439091,9.523143,quiescent,1.0,0.0,1.0,2.0,0.0,0.0
1.5242364,5.647982,quiescent,0.0,0.0,1.0,2.0,0.0,0.0
0.38596275,3.8769653,quiescent,1.0,0.0,1.0,1.0,0.0,0.0
-2.262994,9.028545,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.7743816,8.06111,quiescent,2.0,0.0,7.0,0.0,0.0,0.0
-1.0321126,5.496895,quiescent,4.0,0.0,2.0,0.0,0.0,0.0
-1.5750818,4.773163,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.20350309,7.5583315,quiescent,0.0,2.0,1.0,1.0,0.0,0.0
0.9586385,8.886425,quiescent,0.0,0.0,0.0,4.0,0.0,14.0
-2.0242434,9.765545,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.24356624,8.419418,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.9951977,6.2652745,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.940534,10.180794,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.1658132,7.8831725,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.7290233,9.514076,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.7210563,6.568145,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.7217615,8.6745205,quiescent,3.0,0.0,1.0,4.0,0.0,0.0
-0.142864,5.5616865,quiescent,0.0,0.0,0.0,0.0,251.0,0.0
0.016749393,9.1426525,quiescent,5.0,0.0,4.0,2.0,0.0,0.0
0.038650423,5.238866,quiescent,0.0,0.0,0.0,0.0,1.0,0.0
-1.1750116,8.638516,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.880817,6.5861306,quiescent,0.0,2.0,0.0,0.0,0.0,0.0
0.20284827,6.4161863,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-1.9830048,5.4876633,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.9702195,7.0201573,quiescent,2.0,0.0,0.0,0.0,0.0,0.0
0.08449603,9.656028,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-1.1431848,8.715034,quiescent,0.0,0.0,0.0,2.0,0.0,0.0
1.0098933,7.675766,quiescent,0.0,0.0,1.0,1.0,0.0,0.0
-1.5971758,3.285225,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.3054695,5.50208,quiescent,0.0,0.0,0.0,0.0,41.0,0.0
0.7804346,5.3855343,quiescent,1.0,0.0,0.0,3.0,0.0,0.0
-0.3207814,9.709584,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-2.3310232,10.961182,quiescent,2.0,0.0,0.0,6.0,0.0,0.0
3.1138096,4.3212028,quiescent,2.0,1.0,5.0,5.0,0.0,0.0
-0.068303555,5.157586,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.1864045,12.051776,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.07738032,6.9049497,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.7962981,11.856317,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.9159692,3.0065863,quiescent,0.0,0.0,0.0,0.0,190.0,0.0
-0.4552197,8.028112,quiescent,0.0,2.0,0.0,0.0,0.0,0.0
0.81507593,8.764545,quiescent,1.0,0.0,3.0,3.0,23.0,0.0
0.62949514,4.931027,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.3240598,5.9016204,quiescent,1.0,0.0,1.0,0.0,0.0,0.0
-1.1009963,5.0813847,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.023635902,5.716217,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.75887114,8.632149,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
0.4841842,4.884199,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.7408712,7.1213217,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.214626,7.14604,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.0220215,10.953902,quiescent,0.0,1.0,3.0,0.0,0.0,0.0
-1.5305203,8.01554,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.448847,9.267614,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.8667759,8.560882,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.8654681,4.8611846,quiescent,0.0,0.0,4.0,0.0,0.0,0.0
0.451735,6.920214,quiescent,1.0,0.0,8.0,3.0,0.0,0.0
-2.6611383,12.183389,quiescent,3.0,0.0,6.0,3.0,0.0,0.0
-0.32640952,8.874232,quiescent,6.0,1.0,2.0,6.0,0.0,0.0
-1.5785753,11.009258,quiescent,0.0,0.0,0.0,0.0,0.0,7.0
2.442448,5.9496408,quiescent,1.0,1.0,0.0,0.0,0.0,0.0
-0.18827234,6.5843496,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.62567866,4.9741645,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.6793451,4.1903443,quiescent,0.0,1.0,4.0,2.0,0.0,0.0
0.8518319,9.0678835,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.401373,5.100421,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5954566,10.096691,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
3.2485068,4.4003973,quiescent,1.0,1.0,1.0,4.0,5.0,0.0
-1.608359,7.098421,quiescent,1.0,0.0,0.0,1.0,0.0,0.0
1.0182459,6.6235228,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.6512449,9.219732,quiescent,1.0,1.0,5.0,2.0,0.0,0.0
-1.1149616,7.081689,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.60540694,9.09201,quiescent,0.0,1.0,5.0,7.0,0.0,0.0
-0.050013598,6.5738435,quiescent,0.0,0.0,5.0,0.0,0.0,0.0
-2.345383,7.786889,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.9740812,9.399693,quiescent,1.0,0.0,2.0,3.0,1.0,0.0
-1.5386056,7.4761615,quiescent,1.0,2.0,2.0,0.0,0.0,0.0
-1.0641507,5.3808765,quiescent,0.0,1.0,7.0,3.0,0.0,0.0
0.48815545,10.068742,quiescent,0.0,0.0,2.0,0.0,0.0,0.0
0.39050117,8.236261,quiescent,5.0,1.0,0.0,0.0,0.0,0.0
-0.7431201,8.097174,quiescent,0.0,0.0,0.0,0.0,0.0,1.0
-0.13621391,8.270878,quiescent,0.0,0.0,0.0,0.0,0.0,2.0
0.055084318,7.2105703,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.11044749,3.154488,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.5898328,7.2096367,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.3455584,10.507322,quiescent,2.0,1.0,0.0,1.0,0.0,0.0
1.4322314,8.525296,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.3616943,6.564619,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.764335,11.407096,quiescent,0.0,0.0,0.0,0.0,6.0,0.0
1.2692934,6.0565653,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.31566927,7.869658,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-0.8483869,8.198594,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.0568502,8.785862,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.302598,8.669764,quiescent,0.0,0.0,1.0,0.0,0.0,0.0
-0.75346553,5.3229003,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.3631241,4.277067,quiescent,0.0,0.0,0.0,1.0,0.0,0.0
-0.5398268,4.924309,quiescent,2.0,0.0,0.0,0.0,0.0,0.0
-1.4737066,8.952811,quiescent,1.0,1.0,4.0,2.0,0.0,0.0
-0.45832434,7.1963887,quiescent,2.0,1.0,0.0,0.0,0.0,0.0
-0.3153738,8.436709,quiescent,3.0,1.0,0.0,0.0,0.0,0.0
0.23734419,10.313094,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
2.0550256,5.926381,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-1.5305225,8.218622,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.47201464,6.172211,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.6220897,7.272578,quiescent,1.0,3.0,0.0,3.0,0.0,0.0
0.5745545,6.078294,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.7015771,6.381174,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
1.3433552,5.7251854,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.6578852,7.356501,quiescent,0.0,1.0,3.0,4.0,0.0,0.0
-1.7738035,7.2704597,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-0.1906771,5.642963,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.21986865,4.3051558,quiescent,0.0,0.0,0.0,0.0,0.0,6.0
1.0097206,6.179011,quiescent,0.0,0.0,1.0,0.0,0.0,0.0
0.036046427,7.176483,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.6275181,6.649088,quiescent,0.0,0.0,0.0,0.0,0.0,4.0
-0.6871252,4.908443,quiescent,0.0,1.0,0.0,0.0,0.0,0.0
-1.9938215,5.2587485,quiescent,0.0,0.0,0.0,0.0,6.0,0.0
-1.4102118,5.7419024,quiescent,0.0,0.0,1.0,0.0,0.0,0.0
-0.23393877,8.107212,quiescent,1.0,1.0,0.0,0.0,0.0,0.0
-0.0060406895,9.444645,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.0617738,4.2776456,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.9433633,6.58441,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5342569,9.64254,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.0506762,6.7284102,quiescent,1.0,0.0,2.0,1.0,0.0,0.0
-1.1854144,9.070471,quiescent,1.0,0.0,1.0,2.0,0.0,0.0
-0.22368555,6.1892905,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-1.5601261,7.9638786,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.2641966,9.27111,quiescent,1.0,0.0,4.0,0.0,0.0,0.0
-1.7244531,5.930972,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
2.186223,7.442334,quiescent,2.0,0.0,0.0,0.0,0.0,0.0
-1.6584277,7.2864833,quiescent,0.0,0.0,1.0,5.0,0.0,0.0
-1.673245,5.509731,quiescent,1.0,0.0,0.0,0.0,0.0,0.0
-2.2077608,5.008822,quiescent,1.0,2.0,0.0,0.0,0.0,0.0
-2.4261966,9.96683,quiescent,2.0,0.0,1.0,4.0,2.0,0.0
-1.3622522,6.655534,quiescent,1.0,0.0,3.0,2.0,0.0,0.0
-1.1295698,7.8276987,quiescent,1.0,0.0,2.0,1.0,0.0,0.0
1.7839833,6.27357,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.6855725,6.9861093,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
-2.3064654,9.388509,quiescent,1.0,1.0,0.0,0.0,0.0,0.0
0.1522268,7.6214757,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
0.3685744,7.176065,quiescent,1.0,0.0,6.0,4.0,0.0,0.0
-1.3842446,4.242597,quiescent,0.0,0.0,0.0,0.0,5.0,0.0
1.296389,8.779531,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.6328431,4.142466,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
1.6083713,5.1805344,quiescent,0.0,0.0,0.0,0.0,0.0,0.0
