gene,time,mean_wt,mean_ko,log2fc
DNAJB1,0.0,6.289089347079038,6.518900343642612,0.0517774888541996
HNRNPA1,0.0,17.610395189003437,17.97680412371134,0.02970927995725137
VIM,0.0,41.9647766323024,42.06400343642612,0.0034072631936895004
HBA2,0.0,0.44716494845360827,0.4527491408934708,0.017904798298004218
EIF1,0.0,17.98926116838488,18.030927835051546,0.003337701541389648
EEF1B2,0.0,24.042525773195877,24.69029209621993,0.03835543877325819
CHCHD7,0.0,0.5,0.46606529209621994,-0.10139601536635363
EMP3,0.0,3.204896907216495,3.3075601374570445,0.04548943751759087
H1F0,0.0,1.0184707903780068,1.0786082474226804,0.08276636571051373
LDHB,0.0,11.23668384879725,11.191580756013746,-0.005802508321075535
RPSA,0.0,47.46692439862543,47.12757731958763,-0.010351055068703909
PDZD2,0.0,0.0429553264604811,0.048539518900343644,0.17632276877659386
OTUD1,0.0,0.18857388316151202,0.19243986254295534,0.029277792368551752
GAPDH,0.0,57.26331615120275,56.30283505154639,-0.024403650994291873
MIF,0.0,4.934707903780069,4.802405498281787,-0.03920746608444488
GNAS,0.0,19.336340206185568,19.27405498281787,-0.004654635642858413
BNIP3,0.0,3.8440721649484537,3.863831615120275,0.007396803080556456
WSCD1,0.0,0.14347079037800686,0.13874570446735396,-0.048313937437674016
LGALS1,0.0,16.388745704467354,16.647336769759452,0.0225859508247105
FKBP4,0.0,2.763316151202749,2.7087628865979383,-0.02876651865278933
HSPH1,0.0,3.1877147766323026,3.174398625429553,-0.006039242665877432
CNBP,0.0,5.425257731958763,5.440292096219931,0.003992437924213607
FLCN,0.0,0.4531786941580756,0.4527491408934708,-0.0013681319543123883
FOXO1,0.0,0.35008591065292094,0.35781786941580757,0.031516436158059144
SMPDL3A,0.0,0.33548109965635736,0.3586769759450172,0.0964536489413273
CCT8,0.0,4.3771477663230245,4.384879725085911,0.0025461827111120786
ID2,0.0,0.6739690721649485,0.6494845360824743,-0.053387212666327864
ZNF100,0.0,0.1481958762886598,0.14690721649484537,-0.012600036694238278
MBD6,0.0,0.3436426116838488,0.33075601374570446,-0.05514155402889316
HSPA1A,0.0,0.18986254295532645,0.21305841924398625,0.1662937501681736
APOE,0.0,6.338058419243986,6.597079037800687,0.05778643213249021
RPL22L1,0.0,2.3874570446735395,2.3603951890034365,-0.016446353357040366
ANXA2R,0.0,0.12757731958762886,0.11683848797250859,-0.12685627851105147
C1orf21,0.0,0.22164948453608246,0.23840206185567012,0.10511670535683185
PARK7,0.0,4.982388316151202,5.032216494845361,0.014356524468574838
