x_wt,y_wt,time,x_ko,y_ko,pop_wt,pop_ko
9.511266,8.38085,0.0,7.0016785,7.253103,intermediate,intermediate
6.1282277,8.156307,0.0,6.9239545,8.456722,intermediate,intermediate
12.081299,4.6791024,0.0,6.543842,7.527564,quiescent,intermediate
12.266403,4.8720026,0.0,6.2214313,6.1751895,intermediate,intermediate
7.8373885,3.6142113,0.0,10.339419,2.02946,intermediate,proliferative
8.77176,10.407698,0.0,10.468889,9.472154,intermediate,intermediate
7.3356094,6.281603,0.0,6.9078326,4.1342664,intermediate,intermediate
11.265872,3.9921794,0.0,5.8883147,6.54606,intermediate,quiescent
12.717612,10.579728,0.0,6.146151,8.303905,intermediate,intermediate
11.222097,4.679259,0.0,1.6349385,5.639805,intermediate,intermediate
9.292356,3.21927,0.0,12.035485,8.784072,intermediate,quiescent
9.330091,4.7814317,0.0,6.6900296,8.87428,proliferative,intermediate
6.9048333,7.333496,0.0,11.688723,4.7697144,quiescent,proliferative
12.139916,4.432333,0.0,10.97109,7.937409,intermediate,intermediate
3.277419,5.8266506,0.0,8.193144,11.159099,quiescent,intermediate
7.6617603,7.342918,0.0,3.0162203,4.8841357,intermediate,intermediate
10.843567,7.371371,0.0,10.525051,9.292515,quiescent,intermediate
12.161926,3.0194926,0.0,7.914102,8.502969,quiescent,quiescent
9.845421,6.58657,0.0,11.434114,5.220724,intermediate,intermediate
0.7337241,4.303568,0.0,5.8402753,6.7889943,proliferative,proliferative
10.01362,4.368278,0.0,6.916464,4.650424,quiescent,intermediate
9.568307,3.0427012,0.0,11.402669,6.6500654,proliferative,intermediate
9.883375,3.3314068,0.0,10.439031,5.3952703,intermediate,quiescent
6.739376,9.603586,0.0,6.237646,7.8389816,intermediate,intermediate
10.43137,6.2107663,0.0,11.146359,5.9881835,proliferative,proliferative
7.490942,5.679992,0.0,6.2521434,7.0354266,quiescent,proliferative
9.541246,6.0323915,0.0,10.7813835,6.394345,proliferative,quiescent
7.245107,5.124038,0.0,6.475003,4.469885,proliferative,proliferative
8.383009,10.594383,0.0,12.002779,4.8322005,quiescent,proliferative
7.942694,8.590398,0.0,11.403712,7.888757,intermediate,proliferative
12.646151,10.135612,0.0,7.1535773,7.2814007,quiescent,intermediate
12.717953,10.185308,0.0,6.134191,5.4214883,intermediate,intermediate
7.2684946,6.4300923,0.0,6.6197243,6.85879,intermediate,intermediate
7.827287,9.585809,0.0,7.9156246,7.7548923,intermediate,quiescent
6.098313,7.745424,0.0,12.668758,8.230503,quiescent,quiescent
10.63147,9.130131,0.0,10.511444,6.558402,proliferative,intermediate
