gene,cell_type,mean_wt,mean_ko,log2fc
ZNF100,quiescent,0.27341227125941875,0.2902045209903122,0.085991999217006
MBD6,quiescent,0.4458557588805167,0.4675995694294941,0.06869654943338248
HSPA1A,quiescent,0.2779332615715823,0.32917115177610334,0.24409940524562893
APOE,quiescent,6.307427341227126,6.432723358449946,0.028377964313524448
RPL22L1,quiescent,2.107427341227126,2.0981700753498385,-0.006351265617684502
ANXA2R,quiescent,0.2473627556512379,0.24973089343379978,0.013746007313514759
C1orf21,quiescent,0.2945102260495156,0.3001076426264801,0.0271623308911594
PARK7,quiescent,4.840904198062432,4.81248654467169,-0.008494036372148319
PDCD5,quiescent,1.8047362755651237,1.782346609257266,-0.018010110755995835
GLUL,quiescent,1.802583423035522,1.8116254036598494,0.007218646426093237
ING4,quiescent,0.6254036598493004,0.6458557588805167,0.04642433701830253
KLF2,quiescent,0.3769644779332616,0.3931108719052745,0.06050768139347059
NDUFS6,quiescent,3.434660925726588,3.4592034445640474,0.010272183463662763
TNNT1,quiescent,1.9733046286329385,1.9489773950484393,-0.01789633130626391
MYB,quiescent,0.1713670613562971,0.1644779332615716,-0.05919579215528265
WIPF2,quiescent,0.48719052744886976,0.47685683530678147,-0.0309298857603402
OTUD3,quiescent,0.4456404736275565,0.4445640473627557,-0.0034889860720410657
DUSP1,quiescent,0.7156081808396125,0.7702906350914962,0.10623300513844601
NPM1,quiescent,29.980409041980625,30.30075349838536,0.015333603060672458
MYO19,quiescent,0.4604951560818084,0.4557588805166846,-0.014915213124897398
DDRGK1,quiescent,0.7791173304628632,0.7689989235737352,-0.01885902722695117
AC244197.2,quiescent,0.23745963401506998,0.2441334768568353,0.03998784918476019
PTEN,quiescent,0.553713670613563,0.5603875134553283,0.017284669045135297
PLEKHF2,quiescent,0.37588805166846073,0.37502691065662,-0.0033089350217624827
IP6K2,quiescent,0.9354144241119483,0.6488697524219591,-0.5276767594228472
CLN5,quiescent,0.49429494079655545,0.49429494079655545,0.0
DNAH6,quiescent,0.19268030139935413,0.19634015069967709,0.02714614187355339
CEP72,quiescent,0.22432723358449946,0.24004305705059203,0.09768843210810225
LAMA2,quiescent,0.8310010764262648,0.8678148546824542,0.06253693562198977
DDIT4,quiescent,2.7793326157158234,2.894940796555436,0.058795345507848984
FAM83G,quiescent,0.18643702906350915,0.19289558665231432,0.04913170707178631
STIM2,quiescent,0.5085037674919268,0.5087190527448869,0.0006106645754887536
PANK2,quiescent,0.7804090419806243,0.7821313240043057,0.003180370621755158
COMP,quiescent,0.009903121636167923,0.008611410118406888,-0.2016338393175276
HSPA6,quiescent,1.4077502691065662,1.3496232508073196,-0.060834693466760036
SF1,quiescent,2.2017222820236815,2.2131324004305704,0.007457259216759424
POLA1,quiescent,0.3808396124865447,0.37007534983853607,-0.041364503102211375
POLH,quiescent,0.2798708288482239,0.28288482238966633,0.015453652351590564
GAMT,quiescent,1.1130247578040904,1.1306781485468245,0.02270263567035218
AL450384.1,quiescent,0.1720129171151776,0.1838536060279871,0.09604056615235876
PKN3,quiescent,0.23853606027987082,0.2170075349838536,-0.13646224194925968
OBSL1,quiescent,0.8232508073196986,0.8426264800861141,0.03356123260575923
CCDC28A,quiescent,0.38751345532831,0.4152852529601722,0.09985623658309756
CCDC144NL-AS1,quiescent,0.2092572658772874,0.2234660925726588,0.09477822431373024
MYLPF,quiescent,1.0686759956942948,1.1059203444564047,0.04942295817113894
SLC26A5,quiescent,0.1069967707212056,0.09386437029063509,-0.1889177148989017
SLC3A2,quiescent,1.802368137782562,1.7872981700753499,-0.012113379645352345
LAMA4,quiescent,1.2839612486544671,1.2876210979547902,0.004106459980714286
MDH2,quiescent,2.26243272335845,2.2970936490850375,0.021934782178946267
PABPN1,quiescent,1.5709364908503767,1.2697524219590959,-0.30707763114243586
DNAI1,quiescent,0.18040904198062432,0.17395048439181915,-0.05259495065064596
DCP2,quiescent,0.9498385360602799,0.970075349838536,0.03041452261235983
GPCPD1,quiescent,0.667384284176534,0.685037674919268,0.03766562011374042
AC106707.1,quiescent,0.27857911733046287,0.2671689989235737,-0.06033450164097907
OAS3,quiescent,0.22734122712594187,0.20731969860064586,-0.13300213090214574
EIF2A,quiescent,0.916254036598493,1.178902045209903,0.3636242954059136
MAPK11,quiescent,0.1644779332615716,0.17567276641550053,0.09499651337678758
ANKH,quiescent,0.2641550053821313,0.2874058127018299,0.12170449247017803
FSTL5,quiescent,0.2310010764262648,0.24305705059203445,0.07339540970669807
SNRPF,quiescent,4.710226049515608,4.670828848223897,-0.012117716332113764
ZBTB48,quiescent,0.2940796555435953,0.2925726587728741,-0.007412027497430072
RFWD3,quiescent,0.4566200215285253,0.46006458557588803,0.010842287105600253
RBM4,quiescent,0.511302475780409,0.5627556512378902,0.13833162743177901
BANF1,quiescent,3.5860064585575886,3.680301399354144,0.03744583447368486
DEDD2,quiescent,0.4675995694294941,0.4983853606027987,0.09198809015265366
AC148476.1,quiescent,0.226264800861141,0.2208826695371367,-0.03473193819976038
PPP2R3B,quiescent,0.2596340150699677,0.2908503767491927,0.16379776682921626
LNCSRLR,quiescent,0.18428417653390744,0.15371367061356297,-0.26168672081509037
CDC37,quiescent,1.8973089343379979,1.908719052744887,0.008650157384098493
ATL2,quiescent,0.4286329386437029,0.41076426264800864,-0.061432049568574794
MTRNR2L10,quiescent,0.2092572658772874,0.218729817007535,0.06387218286781024
LNX2,quiescent,0.21593110871905274,0.21442411194833155,-0.010103958497142846
SULT1E1,quiescent,0.7638320775026911,0.768783638320775,0.009322124272836416
GTSE1,quiescent,0.6288482238966631,0.6456404736275565,0.03801916397989276
TOP2A,quiescent,2.423896663078579,2.3270182992465016,-0.058845638435406536
BIRC5,quiescent,0.6247578040904198,0.6099031216361679,-0.03471691763240336
TPX2,quiescent,1.7089343379978472,1.6826695371367062,-0.022345095018270443
NUSAP1,quiescent,0.42669537136706137,0.4217438105489774,-0.016839564879204915
CENPF,quiescent,2.6258342303552205,2.5119483315392896,-0.06396905171357829
PTTG1,quiescent,1.347685683530678,1.297524219590958,-0.05472259232414784
HJURP,quiescent,0.3621097954790097,0.37029063509149623,0.032230859246294596
UBE2C,quiescent,2.6159311087190527,2.6111948331539288,-0.002614439833072592
RACGAP1,quiescent,0.4129171151776103,0.4152852529601722,0.00825042301104878
NDC80,quiescent,0.3922497308934338,0.4021528525296017,0.03597149581703928
CDCA3,quiescent,0.4564047362755651,0.45769644779332613,0.004077332071622109
DLGAP5,quiescent,0.4917115177610334,0.5246501614639397,0.09354360017629319
CDKN3,quiescent,0.4219590958019376,0.4458557588805167,0.07947389903469004
NUF2,quiescent,0.4006458557588805,0.38858988159311086,-0.044079218172899726
FBXO5,quiescent,0.570075349838536,0.5756727664155006,0.014096343261528449
CCNA2,quiescent,0.4204520990312164,0.46458557588805166,0.14400291527526798
