gene,umap_x,umap_y,cluster
ZNF83,25.072176,8.081613,0
XIST,23.561964,4.5545936,8
CACNA1G,25.77366,9.183986,8
ABCB6,26.622694,6.0680614,0
CAPZA2,23.235023,1.9499214,8
UBE3C,24.114847,7.0574713,5
CDC42BPA,26.86655,6.9265594,1
AL133480.1,25.71812,5.505216,0
AC048341.2,23.068218,8.947026,8
HAMP,27.395256,5.1634502,0
SLC35E3,25.428452,8.660994,2
AL157904.1,26.464619,6.2424445,0
ZNF132,24.767294,5.909327,0
UBE4B,23.249535,8.926271,8
PKP2,25.845245,6.962789,0
AC107871.1,27.582012,7.268597,7
FKBP3,20.472061,6.32445,8
C5orf66,25.05767,7.6491785,7
COL5A1,23.001457,6.7528906,2
SCMH1,23.851566,3.4730086,8
FBXO5,-1.7901264,-0.33850825,8
EIF4E3,23.08678,7.822108,2
ZNF700,25.384602,8.065675,2
PLN,24.29187,4.1893215,4
LINC00265,25.51547,7.2153587,7
BNC1,22.168282,6.5413804,8
SBF1,22.065973,6.638005,2
STRIP2,25.389444,8.554796,0
XPO5,23.21763,8.233335,2
RSPH3,24.663755,5.2905736,3
USP49,26.016142,8.381963,5
AC010491.1,25.968908,6.239415,0
FAM84B,25.342228,3.7856052,8
AC005828.3,25.693335,6.8325562,5
GINS1,22.296133,7.6428227,8
DDX39B,27.153091,5.6634784,7
CENPT,23.514261,9.146893,8
ABTB2,26.269995,3.656516,8
NMNAT3,22.302916,6.5967364,8
CEBPB,21.837923,2.67534,8
VWA8-AS1,21.988022,4.5895042,8
TYMS,21.469486,8.025017,8
CDH15,20.26184,5.1926713,8
HNF1A,23.59667,3.069729,4
FMR1,25.837809,8.295673,5
FGFR1OP,27.645882,7.206455,0
CALML4,25.842339,6.85994,7
KLHL41,22.0986,2.8036609,6
BX323046.1,25.546434,5.1230164,4
BIRC6-AS1,27.099552,4.2584786,0
ELL2,27.562317,5.3185353,7
LINC01460,26.470991,5.5862207,0
AC211486.2,26.470049,7.648275,0
CBLN1,25.022364,5.4775276,7
DENND6A,24.031178,8.045115,2
AL122125.1,23.848719,6.6756806,0
AC107081.2,25.262249,4.394843,0
TSPEAR,25.384457,3.394247,4
GPR183,27.07147,5.27878,7
NANOS1,20.296818,5.9208364,8
APTR,26.235909,5.245023,8
AC078778.1,24.433363,2.8876264,8
XKR8,23.676973,4.5546265,8
SLFNL1,25.946262,5.550779,7
AGRN,20.894573,6.3690257,2
TCTE3,23.774586,1.7062479,8
CLUL1,25.052692,5.447893,4
CXCR5,23.347145,6.469598,2
MOK,27.05575,5.53583,7
PPP1R15A,22.516722,2.3077412,8
TYMP,20.766922,5.7899733,8
UBE2W,22.9091,2.6832566,4
ZNF26,26.365412,5.658158,9
AC010336.2,25.190361,3.2973688,4
HEATR5B,25.51884,5.5247965,3
FKBP4,22.736238,1.4482472,8
AC097662.1,22.855902,3.8333194,4
PPARGC1A,24.325886,4.2833104,4
FZD4,22.77918,6.2390842,2
SOGA1,23.588068,9.042027,8
AL513314.2,24.114508,5.5256715,4
PDZRN4,22.990372,5.305685,3
AP003396.1,27.611353,5.9888663,7
ERCC5,27.672373,6.8089247,0
RUSC1-AS1,21.873476,6.693691,2
PEX1,26.281015,7.8820705,5
TRMT9B,26.041954,8.59107,0
GRHL1,27.334425,4.92263,7
ECM1,20.969606,6.679052,2
PLPP2,25.87671,5.38673,7
ITGA1,25.53418,8.441661,1
WNT7B,26.48085,7.818624,0
CACNA2D2,25.49209,4.1565166,4
AC008105.1,21.661383,4.3802247,6
COG8,24.179037,3.8982928,4
