gene,time,mean_wt,mean_ko,log2fc
DNAJB1,0.0,6.617268041237113,8.574742268041238,0.3738575896275385
HNRNPA1,0.0,18.230670103092784,16.365549828178693,-0.15570551838994004
VIM,0.0,42.300257731958766,46.9643470790378,0.15089949869966401
HBA2,0.0,0.38831615120274915,0.3475085910652921,-0.16018306954893138
EIF1,0.0,18.056701030927837,20.29381443298969,0.1685057243481704
EEF1B2,0.0,24.531357388316152,22.07044673539519,-0.1525112324391169
CHCHD7,0.0,0.5300687285223368,0.6254295532646048,0.2386679606342919
EMP3,0.0,3.0854810996563575,1.1550687285223367,-1.4175167595294182
H1F0,0.0,1.013745704467354,1.60266323024055,0.6607755000446294
LDHB,0.0,11.078178694158076,2.756872852233677,-2.0066160780016893
RPSA,0.0,46.156786941580755,45.2856529209622,-0.027488740577586185
PDZD2,0.0,0.03608247422680412,0.07173539518900343,0.9913868498233714
OTUD1,0.0,0.14991408934707903,0.16881443298969073,0.17130227497151657
GAPDH,0.0,58.43857388316151,50.631443298969074,-0.20688736121315163
MIF,0.0,4.924828178694158,4.806701030927835,-0.03502631859720025
GNAS,0.0,19.149484536082475,21.732817869415808,0.18256968761143136
BNIP3,0.0,3.8487972508591066,3.55627147766323,-0.11404221358145175
WSCD1,0.0,0.10609965635738831,0.20661512027491408,0.9615258455703415
LGALS1,0.0,15.112972508591065,18.13144329896907,0.2627063248497999
FKBP4,0.0,2.7830756013745703,2.820876288659794,0.019463297427398038
HSPH1,0.0,2.9716494845360826,3.1189862542955327,0.06981323912786404
CNBP,0.0,5.161941580756014,5.578178694158075,0.11188033698705935
FLCN,0.0,0.49054982817869414,0.48668384879725085,-0.01141478951896539
FOXO1,0.0,0.40807560137457044,0.4957044673539519,0.2806438048022037
SMPDL3A,0.0,0.3329037800687285,0.4892611683848797,0.555499530161564
CCT8,0.0,4.526202749140894,4.991838487972508,0.1412700453078863
ID2,0.0,0.6121134020618557,1.320446735395189,1.1091552444869779
ZNF100,0.0,0.15936426116838487,0.21735395189003437,0.44771819565823057
MBD6,0.0,0.2856529209621993,0.28865979381443296,0.015106892337598746
HSPA1A,0.0,0.12371134020618557,0.4647766323024055,1.909559773826779
APOE,0.0,6.379295532646048,7.677835051546392,0.26730245044667894
RPL22L1,0.0,2.095360824742268,3.2031786941580758,0.6123055831519313
ANXA2R,0.0,0.07517182130584192,0.11125429553264604,0.5655971696298038
C1orf21,0.0,0.23152920962199314,0.2959621993127148,0.35421870859522053
PARK7,0.0,4.976374570446735,5.459192439862543,0.1335924729911144
PDCD5,0.0,1.8969072164948453,1.6460481099656357,-0.20464261092608013
GLUL,0.0,1.9450171821305842,1.9669243986254294,0.01615860683340342
ING4,0.0,0.6129725085910653,0.8277491408934707,0.4333712362092659
KLF2,0.0,0.2869415807560137,0.33762886597938147,0.23468120902973932
NDUFS6,0.0,3.6258591065292096,3.222938144329897,-0.16994636594835646
TNNT1,0.0,2.1752577319587627,2.200601374570447,0.016711487018584346
MYB,0.0,0.06013745704467354,0.05584192439862543,-0.10691520207113053
WIPF2,0.0,0.4798109965635739,0.7289518900343642,0.6033573780316858
OTUD3,0.0,0.46649484536082475,0.4720790378006873,0.01716728310828712
DUSP1,0.0,0.7014604810996563,0.8694158075601375,0.309684498735298
NPM1,0.0,30.520189003436425,26.38573883161512,-0.21000551517166716
MYO19,0.0,0.4518900343642612,0.39776632302405496,-0.1840506055976545
DDRGK1,0.0,0.7268041237113402,0.7242268041237113,-0.005125032170803443
AC244197.2,0.0,0.007302405498281787,0.07646048109965636,3.3882704110202218
PTEN,0.0,0.4677835051546392,0.5949312714776632,0.3468820215605128
PLEKHF2,0.0,0.25300687285223367,0.38144329896907214,0.5922920405996486
IP6K2,0.0,0.7594501718213058,1.461340206185567,0.9442648653595374
CLN5,0.0,0.38745704467353953,0.327319587628866,-0.243336435077952
DNAH6,0.0,0.045103092783505154,0.12457044673539519,1.465663551943561
CEP72,0.0,0.11984536082474227,0.12585910652920962,0.07063554201786705
LAMA2,0.0,0.8058419243986255,0.9712199312714777,0.2693011639313034
DDIT4,0.0,3.2555841924398625,2.740979381443299,-0.24822497257656193
FAM83G,0.0,0.01288659793814433,0.000429553264604811,-4.9068873489715035
STIM2,0.0,0.48668384879725085,0.5403780068728522,0.1509840607642248
PANK2,0.0,0.7517182130584192,0.9596219931271478,0.3522742633478265
COMP,0.0,0.00816151202749141,0.001288659793814433,-2.6629640699596093
HSPA6,0.0,1.681701030927835,1.3509450171821307,-0.31595229020171434
SF1,0.0,2.3676975945017182,2.2890893470790377,-0.048711054923332574
POLA1,0.0,0.2916666666666667,0.23067010309278352,-0.33848948495133724
POLH,0.0,0.16151202749140894,0.1877147766323024,0.21690061657609988
GAMT,0.0,1.2018900343642611,1.60266323024055,0.41516639735185756
AL450384.1,0.0,0.00859106529209622,0.00816151202749141,-0.07400057260537249
PKN3,0.0,0.09836769759450172,0.18900343642611683,0.9421559183945345
OBSL1,0.0,0.845360824742268,1.0640034364261168,0.3318636475564326
CCDC28A,0.0,0.31056701030927836,0.2418384879725086,-0.36086072355071547
CCDC144NL-AS1,0.0,0.08419243986254296,0.23109965635738833,1.456752507548472
MYLPF,0.0,0.9557560137457045,0.7671821305841925,-0.3170732552488682
SLC26A5,0.0,0.010309278350515464,0.003436426116838488,-1.5849622208383725
SLC3A2,0.0,2.4235395189003435,2.3672680412371134,-0.03389253873891542
LAMA4,0.0,1.4974226804123711,1.820446735395189,0.28181101807552755
MDH2,0.0,2.48840206185567,2.263316151202749,-0.1367814852406714
PABPN1,0.0,1.5541237113402062,1.7439862542955327,0.16628731935023625
DNAI1,0.0,0.006872852233676976,0.02190721649484536,1.6724251979141662
DCP2,0.0,0.9531786941580757,1.231958762886598,0.3701353561623893
GPCPD1,0.0,0.5897766323024055,0.8333333333333334,0.4987250262124517
AC106707.1,0.0,0.15420962199312716,0.1645189003436426,0.09336054751566557
OAS3,0.0,0.058419243986254296,0.13659793814432988,1.225420099900088
EIF2A,0.0,1.1692439862542956,1.6597938144329898,0.5054280269671099
MAPK11,0.0,0.05197594501718213,0.17525773195876287,1.7535620851717737
ANKH,0.0,0.1559278350515464,0.25644329896907214,0.7177613796425147
FSTL5,0.0,0.09536082474226804,0.08462199312714777,-0.1723640449738308
SNRPF,0.0,5.135309278350515,5.754295532646048,0.16418815107750512
ZBTB48,0.0,0.16537800687285223,0.1791237113402062,0.11518893719296137
RFWD3,0.0,0.37757731958762886,0.2620274914089347,-0.5270539210081895
RBM4,0.0,0.5463917525773195,1.0189003436426116,0.8990053380371777
BANF1,0.0,3.9488831615120277,4.028350515463917,0.028744538446634042
DEDD2,0.0,0.44372852233676974,0.32646048109965636,-0.4427689293662099
AC148476.1,0.0,0.02276632302405498,0.000429553264604811,-5.727917159342751
PPP2R3B,0.0,0.16709621993127147,0.22164948453608246,0.4076009083120474
LNCSRLR,0.0,0.01632302405498282,0.03006872852233677,0.8813554630972439
CDC37,0.0,1.9982817869415808,2.2302405498281788,0.1584392864508311
ATL2,0.0,0.3333333333333333,0.3178694158075601,-0.06853138146026003
MTRNR2L10,0.0,0.059278350515463915,0.058419243986254296,-0.021061615169923165
LNX2,0.0,0.0897766323024055,0.18170103092783504,1.0171547129091776
SULT1E1,0.0,0.7074742268041238,0.531786941580756,-0.4118292398383902
HSPA1B,0.0,4.080756013745704,8.96520618556701,1.135500307790029
GTSE1,0.0,0.9583333333333334,0.49269759450171824,-0.959825120805581
TOP2A,0.0,3.883591065292096,1.4467353951890034,-1.4245902149435834
BIRC5,0.0,1.4381443298969072,0.6610824742268041,-1.1213062950429757
TPX2,0.0,2.6460481099656357,1.6086769759450172,-0.7179646318845557
NUSAP1,0.0,0.7804982817869416,0.4063573883161512,-0.941646329192838
CENPF,0.0,4.2117697594501715,3.3380584192439864,-0.3354173686045198
PTTG1,0.0,2.2066151202749142,1.602233676975945,-0.46175044295773626
HJURP,0.0,0.36597938144329895,0.20876288659793815,-0.8098971136513816
UBE2C,0.0,4.24914089347079,2.4699312714776633,-0.7827002834262607
RACGAP1,0.0,0.47036082474226804,0.46176975945017185,-0.026594209954648687
NDC80,0.0,0.43427835051546393,0.26718213058419243,-0.7007965096947947
CDCA3,0.0,0.41323024054982815,0.35180412371134023,-0.2321734415194477
DLGAP5,0.0,0.6576460481099656,0.44072164948453607,-0.5774435508129759
CDKN3,0.0,0.5481099656357389,0.29939862542955326,-0.8723977657099304
NUF2,0.0,0.4630584192439863,0.29467353951890035,-0.6520766947993624
FBXO5,0.0,0.6426116838487973,0.4725085910652921,-0.4436066506673969
CCNA2,0.0,0.5571305841924399,0.3075601374570447,-0.8571469848861787
KIF23,0.0,0.48668384879725085,0.2925257731958763,-0.7344211558409254
UBALD2,0.0,0.47121993127147765,0.5756013745704467,0.288669474386738
PRRT2,0.0,0.21606529209621994,0.19329896907216496,-0.16063339780207303
ELN,0.0,2.1924398625429555,2.0030068728522337,-0.13036989936274215
KIF2C,0.0,0.7306701030927835,0.5468213058419243,-0.4181507210981793
CDC20,0.0,0.7731958762886598,0.5919243986254296,-0.38542101794133526
SGO1,0.0,0.4106529209621993,0.28436426116838487,-0.5301793996132995
CCDC18,0.0,0.20103092783505155,0.19072164948453607,-0.07594885284538071
SPC25,0.0,0.5244845360824743,0.28823024054982815,-0.8636785265325546
KIFC1,0.0,1.5390893470790379,0.34106529209621994,-2.1739571277751804
HMMR,0.0,1.0030068728522337,0.4570446735395189,-1.1339243973776314
TTK,0.0,0.3853092783505155,0.26331615120274915,-0.5492209094937853
PIMREG,0.0,0.511168384879725,0.3861683848797251,-0.404568551767284
CKS2,0.0,2.0996563573883162,1.793384879725086,-0.22746808745260896
IER5,0.0,0.8921821305841925,1.4471649484536082,0.69781921165698
MIR503HG,0.0,0.1713917525773196,0.18298969072164947,0.09446468346998706
JUND,0.0,2.304553264604811,2.6967353951890036,0.22672685784719007
AURKB,0.0,0.5678694158075601,0.08333333333333333,-2.7685936045487636
MEST,0.0,4.142611683848798,4.420962199312715,0.09381980610934709
CKAP2,0.0,0.8939003436426117,0.5996563573883161,-0.5759780227337458
PSRC1,0.0,0.22079037800687284,0.20489690721649484,-0.10777909268151856
TMEM185A,0.0,0.35695876288659795,0.3449312714776632,-0.049448489112101465
CDCA2,0.0,0.2860824742268041,0.29037800687285226,0.021501069136322885
CDK1,0.0,0.9308419243986255,0.38144329896907214,-1.287067569511249
FOXM1,0.0,0.5236254295532646,0.30455326460481097,-0.7818405913988142
PRC1,0.0,0.32603092783505155,0.2598797250859107,-0.32716474212713936
ASPM,0.0,1.7985395189003437,0.6804123711340206,-1.4023445813425162
HIST1H4C,0.0,10.7053264604811,11.862113402061855,0.14803227756113144
HIST2H2AC,0.0,0.5945017182130584,0.3247422680412371,-0.8723858013997969
CCNB1,0.0,1.9935567010309279,0.6520618556701031,-1.612263905265892
NET1,0.0,0.9441580756013745,1.111683848797251,0.23564623081301062
LSM5,0.0,2.45446735395189,2.2396907216494846,-0.1321104533444498
PBX3,0.0,0.13144329896907217,0.17010309278350516,0.3719687748924584
FAM122B,0.0,0.18685567010309279,0.26718213058419243,0.5158991770732752
PAX6,0.0,0.3788659793814433,0.2959621993127148,-0.35627467178656674
FANCD2,0.0,0.2598797250859107,0.2534364261168385,-0.03622018777161625
LIG1,0.0,0.3084192439862543,0.26847079037800686,-0.20012765357755907
HIST1H1C,0.0,0.9866838487972509,1.1078178694158076,0.16706091625141037
REXO5,0.0,0.11082474226804123,0.2036082474226804,0.8775159875428401
UBE2S,0.0,2.4149484536082473,1.8487972508591066,-0.38540537564077826
CDKN2C,0.0,0.5266323024054983,0.4381443298969072,-0.2653898262786573
HIST1H2AG,0.0,0.24828178694158076,0.27491408934707906,0.14700241182377047
TUBA1B,0.0,19.37757731958763,18.800257731958762,-0.043635769281217145
FIGNL1,0.0,0.4321305841924399,0.3427835051546392,-0.33416965271297955
CD9,0.0,1.8097079037800687,1.9630584192439862,0.11734624932090212
DDB2,0.0,0.2856529209621993,0.22938144329896906,-0.31651459746201355
NCAPG2,0.0,0.2426975945017182,0.33075601374570446,0.44660757669711
CKS1B,0.0,2.4218213058419242,1.708762886597938,-0.5031402014880924
RTKN2,0.0,0.23754295532646047,0.26331615120274915,0.148607592861614
SPC24,0.0,0.3019759450171821,0.18256013745704466,-0.7260618449224135
HIST1H2BH,0.0,0.23539518900343642,0.2615979381443299,0.15226633433191752
NCAPH,0.0,0.2667525773195876,0.2542955326460481,-0.06899609232659498
HMGB2,0.0,4.334621993127148,3.5811855670103094,-0.27546890957722897
HIST1H1A,0.0,0.23024054982817868,0.23152920962199314,0.008052272259857269
CHEK2,0.0,0.2809278350515464,0.22293814432989692,-0.3335560958043873
AZI2,0.0,0.822594501718213,1.052405498281787,0.3554373566946335
TROAP,0.0,0.5150343642611683,0.4488831615120275,-0.19832871603317515
VAMP1,0.0,0.09965635738831616,0.15764604810996563,0.6616552523904244
COX7B,0.0,4.334621993127148,4.366408934707904,0.010541065160701137
AL031777.3,0.0,0.12070446735395189,0.16838487972508592,0.4802835205098321
TRIM59,0.0,0.3174398625429553,0.2701890034364261,-0.23251434647206684
LRRC45,0.0,0.109106529209622,0.20231958762886598,0.8908985567485791
PIDD1,0.0,0.21262886597938144,0.21563573883161513,0.02025883888918811
PITHD1,0.0,0.7628865979381443,0.8685567010309279,0.1871514153228343
CCSAP,0.0,0.4518900343642612,0.6052405498281787,0.42153690620842627
PTP4A1,0.0,0.845360824742268,1.1241408934707904,0.411183703285568
SCMH1,0.0,0.2190721649484536,0.19372852233676977,-0.17736981274196195
PFDN1,0.0,0.743127147766323,0.9183848797250859,0.3054898148259243
SGO2,0.0,0.5511168384879725,0.3320446735395189,-0.730980849437719
H2AFX,0.0,1.3367697594501717,1.177405498281787,-0.18313973201433922
LIN9,0.0,0.2607388316151203,0.22079037800687284,-0.23992815606067855
CDK5RAP3,0.0,0.5193298969072165,0.4798109965635739,-0.11418505853700334
NCAPD2,0.0,1.4914089347079038,0.9789518900343642,-0.6073660226728054
ANP32E,0.0,1.3586769759450172,1.581615120274914,0.21919607068284036
SGCE,0.0,0.8788659793814433,1.1967353951890034,0.44538911241990825
NEK2,0.0,0.32989690721649484,0.20017182130584193,-0.720776353232762
ZNF230,0.0,0.1134020618556701,0.20403780068728522,0.847389578208634
RNF219,0.0,0.37757731958762886,0.45532646048109965,0.27012919365471616
CDCA5,0.0,0.4879725085910653,0.27405498281786944,-0.8323345034320674
LMO4,0.0,0.6915807560137457,0.5627147766323024,-0.2974938760994378
YPEL1,0.0,0.2701890034364261,0.23367697594501718,-0.2094533647946408
MKI67,0.0,1.5777491408934707,0.8445017182130584,-0.9016955735971389
DNAJB1,16.0,7.205756013745704,10.17053264604811,0.4971735290393484
HNRNPA1,16.0,17.381013745704468,15.237113402061855,-0.18992261255164886
VIM,16.0,42.08204467353952,47.12027491408935,0.1631431526166365
HBA2,16.0,0.4493127147766323,0.5700171821305842,0.34328551844332644
EIF1,16.0,15.37414089347079,20.989690721649485,0.44917511402719873
EEF1B2,16.0,23.679123711340207,17.064003436426116,-0.4726595310727447
CHCHD7,16.0,0.5214776632302406,1.1331615120274914,1.1196761415024699
EMP3,16.0,2.834192439862543,0.8427835051546392,-1.7497037351429026
H1F0,16.0,0.9089347079037801,1.574742268041237,0.7928671577547696
LDHB,16.0,9.74828178694158,2.2396907216494846,-2.1218484295434346
RPSA,16.0,72.94072164948453,41.547250859106526,-0.8119714548038031
PDZD2,16.0,0.044673539518900345,0.22551546391752578,2.3357338685155415
OTUD1,16.0,0.48109965635738833,0.7504295532646048,0.6413808748955404
GAPDH,16.0,94.29252577319588,47.21864261168385,-0.9977868490178964
MIF,16.0,3.8290378006872854,4.951890034364261,0.3709973744766579
GNAS,16.0,18.342353951890033,21.478951890034363,0.22774479776233303
BNIP3,16.0,4.352233676975945,4.101374570446735,-0.08564851061044934
WSCD1,16.0,0.1713917525773196,0.2268041237113402,0.40414918107955233
LGALS1,16.0,14.984536082474227,18.508591065292098,0.30472065762594686
FKBP4,16.0,2.5438144329896906,2.9278350515463916,0.20284084497389737
HSPH1,16.0,2.3380584192439864,2.7040378006872854,0.20980434179777024
CNBP,16.0,4.680841924398625,5.5201890034364265,0.23794961867194317
