x_wt,y_wt,time,x_ko,y_ko,pop_wt,pop_ko
12.781593,3.3803623,0.0,11.918784,1.8502731,quiescent,quiescent
12.655448,6.490412,0.0,9.791258,2.655229,quiescent,intermediate
11.215905,3.6818705,0.0,6.0618014,6.2066007,intermediate,intermediate
12.156279,6.984546,0.0,6.882431,4.2950964,proliferative,quiescent
6.4764853,6.7852626,0.0,9.336887,5.9713674,intermediate,intermediate
8.039675,5.607094,0.0,9.172852,5.3883505,quiescent,intermediate
1.7282116,8.358201,0.0,2.232937,7.5742426,proliferative,intermediate
5.197531,6.347804,0.0,10.763158,0.31201297,proliferative,intermediate
12.305066,5.8292327,0.0,9.980289,3.3325448,intermediate,intermediate
7.178015,6.404546,0.0,10.457715,0.20961082,intermediate,intermediate
11.2126255,5.1171145,0.0,12.448613,5.1068563,intermediate,quiescent
7.2472296,5.3150797,0.0,12.519173,3.2801096,intermediate,intermediate
11.72797,8.239542,0.0,8.296553,9.166716,quiescent,quiescent
12.332557,6.480539,0.0,13.084686,4.893999,proliferative,quiescent
11.728093,7.586718,0.0,5.879762,6.585493,intermediate,intermediate
9.45442,5.701445,0.0,10.375372,3.4752948,intermediate,intermediate
6.1307063,6.4112945,0.0,9.430696,3.524078,proliferative,quiescent
12.000985,4.7787895,0.0,10.069383,4.7630296,intermediate,intermediate
6.154593,7.2391267,0.0,6.763875,4.9632387,quiescent,intermediate
6.2501493,7.210631,0.0,12.397405,5.936125,intermediate,proliferative
10.540773,6.748176,0.0,7.022132,5.053545,intermediate,intermediate
10.876492,9.271396,0.0,12.608138,3.0587523,intermediate,quiescent
8.071705,10.5798025,0.0,12.867198,6.61621,intermediate,intermediate
6.016964,6.586669,0.0,7.7067165,7.7450128,intermediate,quiescent
12.427112,6.57339,0.0,7.620613,3.0964239,quiescent,intermediate
6.1330814,7.279847,0.0,6.943753,6.848342,intermediate,proliferative
8.382854,4.839169,0.0,11.6930895,4.2937546,proliferative,intermediate
9.373396,6.5161257,0.0,6.843807,5.112312,intermediate,proliferative
8.947374,9.954352,0.0,11.575999,1.3873247,proliferative,quiescent
12.555644,5.3820825,0.0,7.4066577,5.1914554,quiescent,quiescent
2.191216,8.271584,0.0,10.856064,1.8090615,intermediate,proliferative
10.165502,12.52565,0.0,10.465512,5.1057,intermediate,intermediate
6.2315454,6.4164367,0.0,12.901488,1.5419229,quiescent,quiescent
11.534233,5.051994,0.0,12.265722,6.3005576,intermediate,intermediate
7.5578265,6.958922,0.0,11.335344,0.8565222,intermediate,proliferative
7.1744266,6.4750066,0.0,6.083825,7.553855,intermediate,intermediate
12.470334,6.280737,0.0,11.0336685,2.2470913,quiescent,quiescent
10.962885,3.278943,0.0,7.4303875,4.994435,quiescent,intermediate
2.9452672,8.020237,0.0,7.2282033,5.7186,intermediate,quiescent
6.607723,5.187162,0.0,11.132613,0.001522013,proliferative,quiescent
6.13625,5.1551933,0.0,8.0026,3.3118637,quiescent,quiescent
6.320543,6.8431587,0.0,6.901632,5.151938,quiescent,intermediate
6.177469,7.3189583,0.0,11.031289,2.6182466,intermediate,intermediate
6.295285,5.310099,0.0,12.903965,2.8725317,proliferative,intermediate
