x,y,population,cell_type,time
0.70009035,1.106443,quiescent,intermediate,32.0
-1.7071395,4.252867,intermediate,intermediate,48.0
-0.22808322,2.9492762,intermediate,intermediate,48.0
8.391441,7.54771,proliferative,proliferative,80.0
1.1796976,1.393242,intermediate,intermediate,64.0
-1.6921242,7.6366334,quiescent,quiescent,16.0
0.2199368,9.155563,quiescent,quiescent,0.0
0.8534041,0.45925778,intermediate,intermediate,32.0
0.083491646,5.7772202,quiescent,quiescent,16.0
6.818341,4.171184,proliferative,proliferative,64.0
2.3810194,1.7668144,intermediate,intermediate,32.0
6.3372245,3.3538454,proliferative,proliferative,80.0
7.339934,8.192878,proliferative,proliferative,80.0
0.85700774,3.722764,intermediate,intermediate,32.0
4.9623327,5.405972,proliferative,proliferative,80.0
2.5580618,1.4767271,intermediate,intermediate,48.0
7.9857774,2.9118404,proliferative,proliferative,80.0
-0.045291983,3.405397,intermediate,intermediate,32.0
3.3241925,-0.9973534,intermediate,intermediate,48.0
6.89179,6.9615064,proliferative,proliferative,80.0
2.6894615,2.4796684,intermediate,intermediate,48.0
-2.1705403,7.1524305,quiescent,quiescent,16.0
0.25615394,2.04495,intermediate,intermediate,64.0
-2.055198,6.235022,quiescent,quiescent,16.0
-0.036306232,2.6249266,intermediate,intermediate,32.0
1.8586656,1.9285241,intermediate,intermediate,48.0
7.3760767,3.312899,proliferative,proliferative,80.0
2.208712,-0.72452545,intermediate,intermediate,64.0
3.9101932,1.5290112,intermediate,proliferative,48.0
7.7926455,7.7300205,proliferative,proliferative,80.0
8.413102,8.491873,proliferative,proliferative,80.0
-0.029202038,5.427589,intermediate,quiescent,16.0
3.767763,-0.20262267,intermediate,intermediate,48.0
6.902476,2.993777,proliferative,proliferative,80.0
2.95147,-0.07064135,quiescent,intermediate,32.0
-0.061487302,4.580116,intermediate,quiescent,48.0
7.5593996,6.372597,proliferative,proliferative,80.0
-0.36151767,3.5771708,intermediate,intermediate,32.0
0.9343375,1.4894305,intermediate,intermediate,32.0
-0.8587248,4.6756797,intermediate,intermediate,32.0
-0.43629134,4.11014,intermediate,intermediate,48.0
7.801345,6.6614056,proliferative,proliferative,80.0
4.5313945,2.3449235,intermediate,proliferative,48.0
2.826255,-1.3965414,intermediate,intermediate,64.0
7.253324,3.2055361,proliferative,proliferative,80.0
0.6401759,1.6122245,intermediate,intermediate,48.0
-2.5202768,8.8378725,quiescent,quiescent,0.0
8.302078,4.051261,proliferative,proliferative,80.0
-0.114424765,8.534788,proliferative,quiescent,16.0
0.9672901,9.554884,quiescent,quiescent,0.0
1.0958762,8.357677,intermediate,quiescent,0.0
-1.5679885,6.326444,quiescent,quiescent,16.0
-1.0316504,5.620555,intermediate,quiescent,16.0
-1.7230663,2.4144433,intermediate,intermediate,64.0
-1.698257,7.6511908,quiescent,quiescent,16.0
-0.44085634,2.1085107,intermediate,intermediate,64.0
2.2077112,7.0870485,quiescent,quiescent,16.0
-0.023750817,6.6751623,quiescent,quiescent,16.0
0.51785165,7.4619207,quiescent,quiescent,16.0
-0.33920756,9.187507,quiescent,quiescent,0.0
2.6229045,-0.2796415,intermediate,intermediate,48.0
-1.9280767,4.0631886,intermediate,intermediate,16.0
-0.07366633,2.0025482,intermediate,intermediate,32.0
6.207869,3.0885236,proliferative,proliferative,80.0
0.94580406,2.45763,proliferative,intermediate,48.0
0.49916765,2.3520896,intermediate,intermediate,32.0
4.559758,2.7816439,proliferative,proliferative,64.0
7.0890546,9.033483,proliferative,proliferative,80.0
1.5476563,0.769991,intermediate,intermediate,48.0
-1.0088509,8.7579365,quiescent,quiescent,0.0
7.306066,2.723392,proliferative,proliferative,80.0
4.8701253,0.01810576,proliferative,proliferative,64.0
0.47898573,3.2139704,intermediate,intermediate,32.0
5.6946197,2.944838,proliferative,proliferative,64.0
6.5188303,1.8141918,proliferative,proliferative,48.0
1.0912142,0.39145118,quiescent,intermediate,32.0
8.981583,5.698104,proliferative,proliferative,80.0
7.8083086,1.1157323,proliferative,proliferative,80.0
6.096156,2.9092903,proliferative,proliferative,80.0
8.461361,6.7375484,proliferative,proliferative,80.0
0.69082993,7.1079206,intermediate,quiescent,16.0
8.053084,3.8169777,proliferative,proliferative,80.0
8.030677,1.5028402,proliferative,proliferative,80.0
2.4016461,0.5913064,intermediate,intermediate,48.0
0.2894624,5.3189573,intermediate,quiescent,48.0
-2.4111786,8.323018,quiescent,quiescent,0.0
6.320039,6.0313935,proliferative,intermediate,64.0
3.865203,2.5375097,proliferative,proliferative,48.0
1.7855569,0.014010342,intermediate,intermediate,48.0
-0.025500068,2.4650483,intermediate,intermediate,64.0
-2.068258,8.115828,quiescent,quiescent,16.0
7.731853,7.1109414,proliferative,proliferative,80.0
-1.7743213,4.256548,intermediate,quiescent,32.0
-0.26849097,5.7182965,intermediate,quiescent,16.0
7.7001677,5.9119916,proliferative,proliferative,80.0
0.22605087,6.84973,intermediate,quiescent,48.0
4.6645603,5.6478477,proliferative,proliferative,64.0
7.583585,2.4586742,proliferative,proliferative,80.0
1.8955727,0.67459476,intermediate,intermediate,48.0
-1.513426,9.4691105,quiescent,quiescent,0.0
4.5753393,1.9716153,quiescent,proliferative,48.0
0.06633274,3.2379222,intermediate,intermediate,64.0
2.7458696,0.327577,intermediate,intermediate,48.0
7.8767467,3.1252532,proliferative,proliferative,80.0
4.8926044,4.281299,proliferative,proliferative,32.0
-0.39936104,4.565355,intermediate,quiescent,16.0
6.7240005,8.477457,proliferative,proliferative,80.0
-1.6507895,3.1591196,intermediate,intermediate,32.0
7.4098034,2.737491,proliferative,proliferative,80.0
-1.4318237,10.154661,quiescent,quiescent,0.0
7.9247346,5.754896,proliferative,proliferative,80.0
-1.3552167,7.423981,quiescent,quiescent,16.0
-0.91499436,8.925314,quiescent,quiescent,0.0
2.445397,0.362711,intermediate,intermediate,32.0
0.97120816,1.3688549,intermediate,intermediate,32.0
-1.2844752,6.449797,quiescent,quiescent,16.0
-1.7724785,8.402398,quiescent,quiescent,0.0
-1.6453992,3.542967,quiescent,quiescent,16.0
-0.026733048,9.52257,quiescent,quiescent,0.0
-1.21464,9.56885,quiescent,quiescent,0.0
6.167207,1.9752473,proliferative,proliferative,80.0
-0.88649595,8.6335745,quiescent,quiescent,0.0
3.2534344,4.6397977,proliferative,intermediate,80.0
0.646352,1.3653989,intermediate,intermediate,32.0
-1.0481943,7.429026,quiescent,quiescent,16.0
3.0408902,-0.49188295,intermediate,intermediate,48.0
1.7755473,1.4948366,intermediate,intermediate,48.0
-0.3769786,1.7228553,intermediate,intermediate,32.0
-0.043784596,3.264019,intermediate,intermediate,32.0
-0.93914074,2.4497285,intermediate,intermediate,32.0
