gene,time,mean_wt,mean_ko,log2fc
DNAJB1,0.0,5.251718213058419,5.2534364261168385,0.00047193164981339795
HNRNPA1,0.0,14.05713058419244,14.030068728522338,-0.0027800576779639548
VIM,0.0,31.885309278350515,53.299828178694156,0.741239007200962
HBA2,0.0,1.2315292096219932,1.1503436426116838,-0.09838594383353692
EIF1,0.0,23.253865979381445,24.315721649484537,0.06441882324743226
EEF1B2,0.0,22.342353951890033,22.231099656357387,-0.007201880974239225
CHCHD7,0.0,0.14175257731958762,0.16967353951890035,0.2593866271438617
EMP3,0.0,2.343213058419244,2.3427835051546393,-0.00026449629559332225
H1F0,0.0,2.0343642611683848,1.9982817869415808,-0.025817984142926072
LDHB,0.0,8.301975945017182,8.292525773195877,-0.001643160816254824
RPSA,0.0,42.55068728522337,46.2147766323024,0.11917177547189098
PDZD2,0.0,0.01804123711340206,0.08805841924398626,2.2871626131435487
OTUD1,0.0,0.30498281786941583,0.32087628865979384,0.07328921816288828
GAPDH,0.0,31.28049828178694,61.16237113402062,0.9673808437575485
MIF,0.0,6.717783505154639,7.134879725085911,0.08690380752001571
GNAS,0.0,18.060137457044675,36.072594501718214,0.9980943185532363
BNIP3,0.0,2.4342783505154637,6.358247422680412,1.3851350135459966
WSCD1,0.0,0.019329896907216496,0.0313573883161512,0.6979714339230579
LGALS1,0.0,57.321735395189,57.034364261168385,-0.007250855597317678
FKBP4,0.0,16.75,16.475515463917525,-0.023837492514454106
HSPH1,0.0,2.2783505154639174,7.679982817869416,1.7531133656141666
CNBP,0.0,14.70274914089347,14.89991408934708,0.01921807489843756
FLCN,0.0,0.6817010309278351,0.6984536082474226,0.035025129189085305
FOXO1,0.0,0.1254295532646048,0.12027491408934708,-0.06054154144210646
SMPDL3A,0.0,0.15077319587628865,0.15721649484536082,0.06037261758732429
CCT8,0.0,3.2620274914089347,15.878865979381443,2.2832670370653347
ID2,0.0,1.5395189003436427,1.7371134020618557,0.17421235973881552
ZNF100,0.0,0.04338487972508591,0.04768041237113402,0.13620438060250872
MBD6,0.0,0.4570446735395189,0.6194158075601375,0.4385730129121815
HSPA1A,0.0,0.3960481099656357,0.5047250859106529,0.34982210023867516
APOE,0.0,21.548539518900345,21.31615120274914,-0.015643120264147332
RPL22L1,0.0,10.994415807560138,11.505154639175258,0.06550942666577497
ANXA2R,0.0,0.01718213058419244,0.16108247422680413,3.228818615487283
C1orf21,0.0,0.022336769759450172,0.07646048109965636,1.7752936671054658
PARK7,0.0,12.376288659793815,12.516323024054984,0.016232046409962453
PDCD5,0.0,0.8505154639175257,0.7650343642611683,-0.1528129136758216
GLUL,0.0,2.410652920962199,2.30627147766323,-0.06386160403227525
ING4,0.0,0.7444158075601375,0.7654639175257731,0.040225682308462074
KLF2,0.0,0.3402061855670103,0.4853951890034364,0.5127504359544984
NDUFS6,0.0,6.056701030927835,5.936426116838488,-0.028937546893071237
TNNT1,0.0,1.4463058419243986,1.359106529209622,-0.0897141212908551
MYB,0.0,0.009450171821305841,0.03221649484536082,1.7693869639764788
WIPF2,0.0,0.6288659793814433,0.5914948453608248,-0.08838699400413376
OTUD3,0.0,0.15077319587628865,0.12671821305841924,-0.2507560742389366
DUSP1,0.0,1.2564432989690721,1.2465635738831615,-0.011389105282284222
NPM1,0.0,27.600085910652922,30.709621993127147,0.15401799650393808
MYO19,0.0,0.1172680412371134,0.13144329896907217,0.1646307004460545
DDRGK1,0.0,0.20103092783505155,0.18470790378006874,-0.12217186935974335
AC244197.2,0.0,0.014175257731958763,0.01675257731958763,0.24100808384601474
PTEN,0.0,0.01675257731958763,0.16280068728522337,3.2806517420527754
PLEKHF2,0.0,0.02147766323024055,0.10395189003436427,2.275006994206478
IP6K2,0.0,1.6670962199312716,1.581615120274914,-0.07593880638877008
CLN5,0.0,0.49828178694158076,0.5597079037800687,0.16771227823544577
DNAH6,0.0,0.01245704467353952,0.02276632302405498,0.8699394069917412
CEP72,0.0,0.023195876288659795,0.041666666666666664,0.8450253124521547
